list_id,ad_id,tieu_de,hang_xe,loai_xe,dung_tich,nam_san_xuat,tinh_trang,gia_vnd,gia_trieu,khu_vuc,quan_huyen,nguoi_ban,so_da_ban,dang_lon,km_da_di,ngay_dang,co_video,url
130940275,174385901,Yamaha Sirius RC 2014 Đen,Yamaha,Xe số,,2014,Đã sử dụng,10500000,10.5,TP Hồ Chí Minh,Quận Tân Phú,Tuanduy,10668,360,10,14 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/130940275
131087530,174557650,xe bán,Honda,Tay ga,,2024,Đã sử dụng,58000000,58.0,TP Hồ Chí Minh,Quận 8,Minh Tran,2,1,12900,14 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/131087530
131072184,174539726,Honda Future 125cc Fi xe cực đẹp máy zin,Honda,Xe số,100 - 175cc,2014,Đã sử dụng,14800000,14.8,TP Hồ Chí Minh,Quận Gò Vấp,Minh Thảo ,146,20,28552,14 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/131072184
131087528,174557641,Honda SH 125i ABS 2020 Đỏ 33735 km,Honda,Tay ga,100 - 175cc,2020,Đã sử dụng,70000000,70.0,TP Hồ Chí Minh,Thành phố Thuận An,Nguyễn Hải,8,1,33735,14 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/131087528
129355444,172557835,🔥Thanh lý ĐIỆN CŨ : pin mới khỏe,Brand_34,Xe phân khối lớn,,,Đã sử dụng,4200000,4.2,TP Hồ Chí Minh,Thành phố Dĩ An,XE ĐIỆN HUY BẢO ,203,6,0,14 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/129355444
131087515,174557571,Yamaha Luvias Nâu Đen,Yamaha,Tay ga,,2007,Đã sử dụng,3500000,3.5,Đồng Nai,Thành phố Biên Hòa,Tài ,13,2,25000,14 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/131087515
131087503,174557622,Piaggio Vespa LXV 125 Bạc,Vespa / Piaggio,Tay ga,100 - 175cc,2016,Đã sử dụng,19500000,19.5,TP Đà Nẵng,Quận Liên Chiểu,An Phú,33,6,25000,14 giờ trước,True,https://xe.chotot.com/mua-ban-xe-may/131087503
131087501,174557626,Honda Air Blade 125 2013 Trắng xám,Honda,Tay ga,,2013,Đã sử dụng,18800000,18.8,TP Hồ Chí Minh,Thành phố Thủ Đức,Trần Lương ,1,1,18000,14 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/131087501
131087488,174557610,Honda Click 2007 Đen đã sử dụng,Honda,Tay ga,100 - 175cc,2008,Đã sử dụng,6900000,6.9,TP Hồ Chí Minh,Thành phố Dĩ An,Cửa Hàng Xe Máy Hoàng Minh,27,10,12000,14 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/131087488
130702494,174108905,Piaggio Vespa LXV 125CC 2016 Trắng,Vespa / Piaggio,Tay ga,100 - 175cc,2016,Đã sử dụng,31000000,31.0,TP Hồ Chí Minh,Quận 12,Ta Thanh Thai,123,27,25000,14 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/130702494
