list_id,ad_id,tieu_de,hang_xe,loai_xe,dung_tich,nam_san_xuat,tinh_trang,gia_vnd,gia_trieu,khu_vuc,quan_huyen,nguoi_ban,so_da_ban,km_da_di,ngay_dang,co_video,url
130864496,174297950,xe may em ru bs65,Yamaha,Xe số,,2006,Đã sử dụng,4000000,4.0,TP Cần Thơ,Quận Ninh Kiều,đầy cửa hàng cầu hưng lợi nk cần thơ,3906,50,4 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/130864496
131071690,174539175,Kymco Candy 50cc ko cần bằng lái bstp chính chủ,Brand_21,Tay ga,Dưới 50cc,2022,Đã sử dụng,9800000,9.8,TP Hồ Chí Minh,Quận Bình Thạnh,Nguyễn thị ngọc yến,448,5263,4 giờ trước,True,https://xe.chotot.com/mua-ban-xe-may/131071690
131044706,174508262,Honda Future Neo 2006 up 2009 chính chủ bstp,Honda,Xe số,100-175cc,2006,Đã sử dụng,26500000,26.5,TP Hồ Chí Minh,Quận 11,NGUYỄN TRÂN,13,28000,4 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/131044706
131053365,174518240,BÁN XE AB THÁI 2008 Zin ( Bánh căm có 1 không 2 ),Honda,Tay ga,100-175cc,2008,Đã sử dụng,15000000,15.0,TP Hồ Chí Minh,Thành phố Thủ Đức,Hồ Lê Dinh,0,50000,4 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/131053365
131250393,174747999,Bán Future 125i 2026 mới 100% rẻ hơn hãng ít triêu,Honda,Xe số,,2026,Đã sử dụng,35500000,35.5,TP Đà Nẵng,Quận Sơn Trà,Huan Motor,87,0,4 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/131250393
131183077,174669810,🌈Honda #Air_Blade 125 2016 Trắng Đen BSTP Chính Ch,Honda,Tay ga,100-175cc,2016,Đã sử dụng,23500000,23.5,TP Hồ Chí Minh,Thành phố Thủ Đức,Nguyễn Hữu Tài,49,36789,4 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/131183077
130306963,173657075,Honda Vario 125i 2023 Xanh ngọc odo 9.000Km,Honda,Tay ga,,2023,Đã sử dụng,37000000,37.0,TP Cần Thơ,Quận Ninh Kiều,Xe Máy TÂN LIÊN HƯNG 1 91B,1643,9000,4 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/130306963
131285130,174788679,Xe máy Magic 100 Đen 54761 km,Suzuki,Xe số,,1999,Đã sử dụng,4500000,4.5,TP Hồ Chí Minh,Thành phố Thủ Đức,xe79 cỏ79,229,54761,4 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/131285130
131285128,174788675,wave 100cc 2015 zin chất,Honda,Xe số,50-100cc,2015,Đã sử dụng,15000000,15.0,Vĩnh Long,Thành phố Bến Tre,Trung Tâm ,181,12345,4 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/131285128
131285127,174788464,Yamaha Nouvo LX 2011 Nâu vàng,Yamaha,Tay ga,,2011,Đã sử dụng,3600000,3.6,TP Hải Phòng,Huyện Thuỷ Nguyên,Nguyễn Thuyết,1,60000,4 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/131285127
